Date,Adj Close,Close,High,Low,Open,Volume,SMA_50,SMA_200,Volatility,RSI,Middle_Band,Upper_Band,Lower_Band,Daily_Return
2015-10-16,22.56425666809082,32.64706039428711,32.67552185058594,32.25806427001953,32.59013366699219,20238908,31.420872802734376,32.113804492950436,0.8850973236024459,80.47540431347353,31.0094877243042,32.77968237150909,29.23929307709931,0.009683164123355459
2015-10-19,22.623268127441406,32.73244857788086,32.7703971862793,32.34345245361328,32.64706039428711,16632963,31.407779846191406,32.128842449188234,0.9623349276379327,80.10382849308178,31.10815954208374,33.032829397359606,29.183489686807874,0.0026154937860405347
2015-10-20,22.29539680480957,32.25806427001953,32.91271209716797,32.03036117553711,32.87476348876953,18436146,31.381973419189453,32.1423149394989,0.9875740180271124,71.986426581074,31.19070224761963,33.165850283673855,29.215554211565404,-0.01449278402538745
2015-10-21,21.941293716430664,31.74573135375977,32.58064651489258,31.33776092529297,32.41935348510742,34867585,31.350474395751952,32.151992359161376,0.9933598820953983,63.50001340231063,31.230550479888915,33.217270244079714,29.24383071569812,-0.01588232052522509
2015-10-22,21.856050491333008,31.622390747070312,31.9165096282959,31.204933166503903,31.859582901000977,43599764,31.31176467895508,32.159013233184815,0.9958281585128437,52.556243440166725,31.260436630249025,33.25209294727471,29.26878031322334,-0.003885265874488897
2015-10-23,22.328184127807617,32.305503845214844,32.59013366699219,31.52751350402832,31.74573135375977,29021468,31.28690704345703,32.16636617660522,0.9924827566668014,55.47026270318578,31.36290349960327,33.347869012936876,29.377937986269668,0.021602196481865343
2015-10-26,22.40031623840332,32.40986633300781,32.609107971191406,32.09677505493164,32.25806427001953,24548819,31.264895629882812,32.173529357910155,0.8827866673849278,64.79480140993437,31.521347427368163,33.28692076213802,29.75577409259831,0.003230486306389224
2015-10-27,22.9445858001709,33.19734191894531,33.6337776184082,32.87476348876953,33.2163200378418,42242001,31.255218200683593,32.18406065940857,0.8122706622539996,67.13708492536395,31.709677505493165,33.33421883000116,30.085136180985167,0.02429740307615824
2015-10-28,23.246232986450195,33.6337776184082,34.22201156616211,33.225807189941406,33.425048828125,36745497,31.253889923095702,32.19833960533142,0.7900524986809,72.60536014819553,31.901328468322752,33.48143346568455,30.321223470960952,0.013146706158839283
2015-10-29,22.800323486328125,32.98861312866211,34.06072235107422,32.40986633300781,32.49525451660156,75916247,31.244402236938477,32.209202976226806,0.7178323539268278,63.304312133942744,32.0403226852417,33.47598739309535,30.604657977388044,-0.01918204065763307
2015-10-30,22.17736053466797,32.08728790283203,33.11195373535156,32.00189971923828,32.98861312866211,60213861,31.23055030822754,32.21593922615051,0.7010801502422457,54.49102913705948,32.07542715072632,33.47758745121081,30.673266850241827,-0.02732231337870228
2015-11-02,22.99049186706543,33.263755798339844,33.44402313232422,32.4003791809082,32.41935348510742,41633632,31.259392776489257,32.22666028022766,0.7448763135303554,63.54165276046865,32.15037965774536,33.64013228480607,30.66062703068465,0.0366646099561434
2015-11-03,22.931476593017575,33.178367614746094,33.244781494140625,32.87476348876953,33.19734191894531,31138111,31.31328269958496,32.23553124427795,0.736369765336697,62.51621183146894,32.25379514694214,33.72653467761553,30.781055616268745,-0.002567003681466784
2015-11-04,22.56790542602539,32.390892028808594,33.178367614746094,32.34345245361328,33.13093185424805,32544358,31.366413650512694,32.24264698982239,0.719678638867795,50.400005146484496,32.2941177368164,33.73347501455199,30.854760459080815,-0.023734609100765636
2015-11-05,22.574506759643555,32.4003791809082,32.533206939697266,32.24857711791992,32.476280212402344,21599306,31.399051208496093,32.24900372505188,0.6879625053731953,48.189400379221865,32.34440231323242,33.720327323978815,30.968477302486033,0.00029289567237511527
2015-11-06,22.42908096313477,32.191650390625,32.305503845214844,31.631879806518555,32.18216323852539,32936868,31.411764678955077,32.25602459907532,0.662632960729705,46.10122133331866,32.37713470458984,33.702400626049254,31.05186878313043,-0.006442171220211956
2015-11-09,22.243995666503903,31.925996780395508,32.12523651123047,31.679317474365234,32.05882263183594,28473915,31.430550270080566,32.26005685806275,0.640711062384351,47.53173951692136,32.39753322601318,33.678955350781884,31.116111101244478,-0.008252251966145097
